x f587797729: [stage1] 3.1, f587797729: [stage1] 3.1
11520,0.9607
11530,0.949
11570,0.9535
11580,0.9443
11620,0.9465
11640,0.9586
11650,0.9472
11670,0.9391
11690,0.9548
11700,0.9464
11710,0.9499
11720,0.9417
11730,0.9499
11740,0.9478
11750,0.955
11760,0.9542
11770,0.9511
11780,0.9533
11790,0.9542
11800,0.9582
11810,0.9513
11830,0.9456
11840,0.9507
11860,0.9499
11880,0.9517
11890,0.9607
11910,0.9481
11920,0.9454
11950,0.9444
11970,0.9511
11980,0.9495
11990,0.9604
12000,0.9563
12010,0.9525
12030,0.9548
12040,0.9444
12080,0.9601
12090,0.9543
12100,0.9674
12110,0.9581
12120,0.9642
12130,0.9593
12140,0.9517
12150,0.9496
12170,0.955
12200,0.9461
12210,0.9429
12230,0.9539
12250,0.9525
12260,0.9517
12270,0.9498
12300,0.9511
12310,0.9517
12320,0.955
12340,0.9492
12360,0.9451
12370,0.9481
12380,0.95
12410,0.9432
12420,0.947
12430,0.9534
12440,0.9443
12460,0.9483
12490,0.9436
12510,0.948
12520,0.9443
12530,0.9437
12540,0.9543
12560,0.9578
12600,0.9558
12610,0.9366
12620,0.9462
12630,0.9464
12640,0.9328
12650,0.9458
12660,0.9367
12670,0.9467
12680,0.9533
12700,0.958
12710,0.943
12720,0.939
12730,0.9493
12740,0.9393
12770,0.9366
12780,0.9426
12790,0.9381
12800,0.9377
12820,0.9432
12830,0.9494
12840,0.9349
12850,0.9368
12860,0.9382
12880,0.9402
12890,0.9457
12910,0.9506
12920,0.9343
12930,0.9413
12940,0.939
12960,0.9386
12970,0.9349
12990,0.9426
13000,0.9396
13020,0.9434
13040,0.9433
13050,0.9382
13060,0.9527
13090,0.9347
13120,0.9375
13140,0.9423
13150,0.9384
13160,0.9376
13170,0.942
13180,0.9485
13190,0.9415
13200,0.9493
13210,0.9389
13220,0.9421
13230,0.9505
13240,0.9356
13250,0.9414
13260,0.945
13280,0.943
13300,0.9396
13310,0.9419
13320,0.9344
13330,0.9449
13350,0.9421
13380,0.9454
13390,0.9474
13400,0.9429
13420,0.9344
13430,0.9406
13440,0.9379
13470,0.9441
13510,0.9381
13550,0.9347
13570,0.9345
13580,0.9379
13600,0.9447
13620,0.9401
13630,0.9435
13660,0.9357
13680,0.9429
13690,0.9407
13710,0.9315
13740,0.9326
13750,0.9374
13760,0.9389
13770,0.929
13780,0.938
13790,0.9433
13800,0.9327
13810,0.9446
13820,0.9329
13830,0.9336
13840,0.9421
13850,0.9309
13860,0.9314
13870,0.9288
13890,0.9519
13910,0.9289
13920,0.9442
13930,0.9321
13960,0.9304
13970,0.9284
13990,0.9449
14000,0.9306
14010,0.9441
14020,0.9373
14030,0.9478
14030,0.933
14040,0.9293
14050,0.944
14050,0.9377
14060,0.9376
14070,0.9316
14090,0.9328
14100,0.9337
14120,0.9451
